,SKU,FISRT_MINIMUM_PRICE,SECOND_MINIMUM-VALUE
0,11331,329,329
1,11332,175,175
2,11333,304,359.99
3,11334,329,342.6
4,11335,304,312.8
5,11336,334,379.99
6,11337,334,379.99
7,11338,156,204.8
8,11339,266,266
9,11340,949,1459.2
10,11341,699,699
11,11342,349,499
12,11343,228,265.194
13,11344,95,107
14,11345,626,699.99
15,11346,499.97,619.776
16,11347,158,574.8
17,11348,255,325.55
18,11349,239,260.2
19,11350,225,247.956
20,11351,449.98,475
21,11352,320,338.2
22,11353,349.95,408
23,11354,325,364
24,11355,390,395.994
25,11356,250,282.798
26,11357,383,399.954
27,11358,499,675
28,11359,119,125.4
29,11360,139,145
30,11361,79.99,108.196
31,11362,132,157.8
32,11363,96.95,139.38
33,11364,120,140.2
34,11365,425,445
35,11366,425,445
36,11367,350,387.2
37,11368,395,431
38,11369,435,480.992
39,11370,509,527.4
40,11371,873,888.6
41,11372,899,1089.8
42,11373,398,498.6
43,11374,59,85
44,11376,295,327
45,11377,185,199
46,11378,180,215
47,11379,119.99,145.196
48,11380,158,183.2
49,11381,120,125
50,11382,210,225
51,11383,312,326.2
52,11384,150,232.794
53,11385,540,628
54,11386,125,279.968
55,11388,260,339.36
56,11389,316,386.738
57,11390,189,217.396
58,11391,189,217.396
59,11392,199,297.86
60,11393,159,190.504
61,11394,165,199.2
62,11395,285,335.2
63,11397,171,249.792
64,11399,189.98,195
65,11400,215,237
66,11401,108.95,108.98
67,11402,162,182.2
68,11403,209,226.398
69,11404,130,157.99
70,11405,269.94,298.188
71,11406,225,238.752
72,11407,114.98,119
73,11408,163.89,249
74,11409,219,226.2
75,11410,206,221
76,11411,129,131.188
77,11412,135,145
78,11413,195,197.394
79,11414,45,69
80,11415,234,249.952
81,11416,74.95,152
82,11417,525,577.77
83,11418,585,879
84,11419,819,842.6
85,11420,407,429.994
86,11421,300,628.996
87,11422,215,219
88,11423,188,224.6
89,11424,177,178.2
90,11425,195,203.4
91,11426,159,278.2
92,11427,375,394.2
93,11428,129.94,139.99
94,11429,200,235.998
95,11430,239,241
96,11431,179,223.8
97,11432,199,245
98,11433,278,298.6
99,11434,189,191.6
100,11435,399.99,592.6
101,11436,621,625
102,11437,399.98,445.8
103,11438,500,1118.2
104,11439,799,919.8
105,11440,399,899
106,11441,695,764
107,11442,514.99,769.96
108,11444,550,818
109,11445,550,818
110,11446,799,899
111,11448,898,1333.33
112,11449,725,745
113,11451,845,849.974
114,11452,835,909.4
115,11453,425,600.2
116,11454,899,974.4
117,11455,895.99,925
118,11456,599,636.2
119,11458,392,909.792
